Date,Time,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,datetime,criteria_observed,co_stale_hours,no2_stale_hours,sensor_stale_hours,i_co,i_no2,i_c6h6,current_air_quality_index,dominant_pollutant,next_day_air_quality_index,hazardous_air_day,hour,day_of_week,is_weekend,month,season,sin_hour,cos_hour,sin_month,cos_month,target_day_of_week,target_is_weekend,current_air_quality_index_lag_1,current_air_quality_index_lag_2,current_air_quality_index_lag_3,current_air_quality_index_lag_6,current_air_quality_index_lag_12,current_air_quality_index_lag_24,current_air_quality_index_lag_48,current_air_quality_index_lag_72,current_air_quality_index_lag_144,CO(GT)_lag_1,CO(GT)_lag_2,CO(GT)_lag_3,CO(GT)_lag_24,CO(GT)_lag_48,NO2(GT)_lag_1,NO2(GT)_lag_2,NO2(GT)_lag_3,NO2(GT)_lag_24,NO2(GT)_lag_48,C6H6(GT)_lag_1,C6H6(GT)_lag_2,C6H6(GT)_lag_3,C6H6(GT)_lag_24,C6H6(GT)_lag_48,NOx(GT)_lag_1,NOx(GT)_lag_2,NOx(GT)_lag_3,NOx(GT)_lag_24,NOx(GT)_lag_48,T_lag_1,T_lag_2,T_lag_3,T_lag_24,T_lag_48,RH_lag_1,RH_lag_2,RH_lag_3,RH_lag_24,RH_lag_48,PT08.S1(CO)_lag_1,PT08.S1(CO)_lag_2,PT08.S1(CO)_lag_3,PT08.S1(CO)_lag_24,PT08.S1(CO)_lag_48,PT08.S3(NOx)_lag_1,PT08.S3(NOx)_lag_2,PT08.S3(NOx)_lag_3,PT08.S3(NOx)_lag_24,PT08.S3(NOx)_lag_48,PT08.S5(O3)_lag_1,PT08.S5(O3)_lag_2,PT08.S5(O3)_lag_3,PT08.S5(O3)_lag_24,PT08.S5(O3)_lag_48,current_air_quality_index_rolling_mean_6h,current_air_quality_index_rolling_std_6h,current_air_quality_index_rolling_mean_12h,current_air_quality_index_rolling_std_12h,current_air_quality_index_rolling_mean_24h,current_air_quality_index_rolling_std_24h,CO(GT)_rolling_mean_6h,CO(GT)_rolling_std_6h,CO(GT)_rolling_mean_12h,CO(GT)_rolling_std_12h,CO(GT)_rolling_mean_24h,CO(GT)_rolling_std_24h,NO2(GT)_rolling_mean_6h,NO2(GT)_rolling_std_6h,NO2(GT)_rolling_mean_12h,NO2(GT)_rolling_std_12h,NO2(GT)_rolling_mean_24h,NO2(GT)_rolling_std_24h,C6H6(GT)_rolling_mean_6h,C6H6(GT)_rolling_std_6h,C6H6(GT)_rolling_mean_12h,C6H6(GT)_rolling_std_12h,C6H6(GT)_rolling_mean_24h,C6H6(GT)_rolling_std_24h,T_rolling_mean_6h,T_rolling_std_6h,T_rolling_mean_12h,T_rolling_std_12h,T_rolling_mean_24h,T_rolling_std_24h,RH_rolling_mean_6h,RH_rolling_std_6h,RH_rolling_mean_12h,RH_rolling_std_12h,RH_rolling_mean_24h,RH_rolling_std_24h,aqi_diff_1h,aqi_diff_3h,aqi_diff_24h,aqi_ewm_6h,aqi_ewm_24h,aqi_rolling_max_24h,aqi_rolling_min_24h,aqi_rolling_mean_72h,aqi_rolling_mean_168h,vapor_pressure_proxy,co_sensor_ratio,no2_sensor_ratio
16/03/2004,18.00.00,3.4,1447.0,17.8,1235.0,184.0,859.0,139.0,1778.0,1296.0,23.9,25.7,0.7519,2004-03-16 18:00:00,1,0.0,0.0,0.0,118.22,159.37,178.2,178.2,C6H6,247.16,1,18,1,0,3,2,-1.0,-1.8369701987210297e-16,1.0,6.123233995736766e-17,2,0,158.38,166.31,148.47,183.15,80.35,280.85,141.53,168.29,133.6,2.9,2.9,2.8,6.1,2.5,133.0,129.0,128.0,162.0,121.0,15.8,16.6,14.6,32.1,12.2,190.0,184.0,180.0,314.0,160.0,28.0,28.2,27.0,22.5,19.7,19.1,18.6,20.2,35.4,36.7,1389.0,1407.0,1280.0,1917.0,1478.0,898.0,905.0,893.0,631.0,929.0,1363.0,1313.0,1240.0,1843.0,1262.0,178.51,26.45589386129335,177.99333333333334,38.10909395963443,159.0975,67.45696639500908,3.2999999999999994,0.5138093031466181,3.408333333333333,0.9529459903929819,2.966666666666667,1.898435664175768,141.83333333333334,15.341664403403545,131.58333333333334,30.001388856740327,116.25,40.88929912102547,17.916666666666668,2.9191893852004047,17.65833333333333,4.938615620032018,14.745833333333332,9.68054881514054,26.36666666666667,1.6717256553233537,21.508333333333336,6.373875420714443,18.254166666666666,5.80097286943182,22.150000000000002,3.317077026539854,35.24999999999999,17.678158069416458,47.60833333333334,18.215805766151114,19.819999999999993,29.72999999999999,-102.65000000000003,172.98507712034436,162.9203431274959,328.67,65.61,150.8475,141.90924137931034,16.4223,413.42857142857144,12.7
16/03/2004,19.00.00,3.9,1551.0,19.1,1271.0,181.0,800.0,137.0,1875.0,1432.0,21.3,34.8,0.873,2004-03-16 19:00:00,1,0.0,0.0,0.0,124.42,157.39,191.08,191.08,C6H6,323.39,1,19,1,0,3,2,-0.9659258262890684,0.2588190451025203,1.0,6.123233995736766e-17,2,0,178.2,158.38,166.31,216.12,87.72,328.67,204.9,196.04,112.79,3.4,2.9,2.9,8.0,4.6,139.0,133.0,129.0,187.0,157.0,17.8,15.8,16.6,39.2,20.6,184.0,190.0,184.0,404.0,261.0,23.9,28.0,28.2,20.4,18.4,25.7,19.1,18.6,42.5,41.7,1447.0,1389.0,1407.0,1930.7360000000044,1808.0,859.0,898.0,905.0,542.0,753.0,1296.0,1363.0,1313.0,2122.0,1698.0,174.33666666666667,20.681219177473203,186.60666666666665,25.418399682596956,153.36458333333334,57.536162086508014,3.2833333333333328,0.48751068364363054,3.625,0.6890375369112544,2.795833333333333,1.5842922344245611,137.83333333333334,12.139467313958198,137.16666666666666,22.89038437793716,114.16666666666667,38.32091796425534,17.383333333333333,2.14887567501396,18.825,2.9591537488090878,13.908333333333333,8.23438795099771,25.7,2.677312084908978,22.366666666666664,5.45782729553424,18.291666666666668,5.8183306037464675,23.600000000000005,6.112609917211998,32.608333333333334,14.701852594043086,47.2875,18.376788584941917,12.880000000000024,24.77000000000001,-137.59,178.15505508596027,165.1731156772962,273.58,65.61,150.7786111111111,142.2460273972603,21.332399999999996,387.75,13.58695652173913
16/03/2004,20.00.00,3.2,1474.0,15.8,1173.0,166.0,854.0,143.0,1776.0,1432.0,20.4,36.7,0.8704,2004-03-16 20:00:00,1,0.0,0.0,0.0,115.74,163.33,158.38,163.33,NO2,301.59,1,20,1,0,3,2,-0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,2,0,191.08,178.2,158.38,203.58,162.34,273.58,221.41,192.07,134.59,3.9,3.4,2.9,6.5,5.9,137.0,139.0,133.0,165.0,173.0,19.1,17.8,15.8,31.0,23.1,181.0,184.0,190.0,320.0,325.0,21.3,23.9,28.0,18.3,17.6,34.8,25.7,19.1,52.6,46.1,1551.0,1447.0,1389.0,1895.0,1898.0,800.0,859.0,898.0,565.0,681.0,1432.0,1296.0,1363.0,1992.0,1905.0,167.62833333333333,15.063385299018409,186.6891666666667,25.33394397689087,148.77083333333334,51.61754461729883,3.183333333333333,0.4167333280008697,3.608333333333333,0.697343443926936,2.658333333333333,1.378693983975151,134.83333333333334,5.879342366851889,141.0,19.088311511593982,113.25,37.30164933991874,16.616666666666667,1.61048646894865,18.791666666666668,2.99346510474622,13.275,7.405476821685541,24.799999999999997,3.4368590311503477,23.09166666666667,4.384364436854138,18.379166666666666,5.834230262307374,25.850000000000005,8.098086193663198,30.35833333333333,11.14731588837211,46.625,18.463342059334742,-27.75,4.950000000000017,-110.24999999999997,173.9193250614002,165.0256664231125,234.62,65.61,150.37944444444443,142.38945578231292,22.166800000000002,446.66666666666663,12.333333333333334
16/03/2004,21.00.00,5.1,1800.0,24.9,1426.0,317.0,700.0,177.0,2106.0,2034.0,19.0,41.3,0.9007,2004-03-16 21:00:00,1,0.0,0.0,0.0,139.29,197.03,233.3,233.3,C6H6,248.49,1,21,1,0,3,2,-0.7071067811865477,0.7071067811865474,1.0,6.123233995736766e-17,2,0,163.33,191.08,178.2,148.47,197.03,199.01,166.31,183.15,142.52,3.2,3.9,3.4,4.2,3.4,143.0,137.0,139.0,145.0,146.0,15.8,19.1,17.8,19.9,14.7,166.0,181.0,184.0,256.0,217.0,20.4,21.3,23.9,16.7,16.7,36.7,34.8,25.7,57.4,49.6,1474.0,1551.0,1447.0,1595.0,1560.0,854.0,800.0,859.0,678.0,784.0,1432.0,1432.0,1296.0,1707.0,1648.0,181.76666666666665,27.860004067958897,189.71166666666667,28.629144029795764,150.19958333333332,53.508530525041245,3.566666666666666,0.8382521498133355,3.7249999999999996,0.8203380677833662,2.6958333333333333,1.4335966222624539,143.0,17.34358671094283,147.83333333333334,15.455704056393131,114.58333333333333,39.01829745429551,18.333333333333332,3.459287017098568,19.225,3.4746157406905445,13.483333333333333,7.665715126835665,23.46666666666667,3.9292068750151636,23.541666666666668,3.511916941794093,18.474999999999998,5.824330526932386,29.36666666666667,9.596596618940758,29.108333333333334,8.50074417419754,45.95416666666667,18.346945704031118,69.97,55.10000000000002,34.29000000000002,190.88523218671443,170.48761310926352,234.62,65.61,151.07597222222225,143.00371621621622,24.366999999999997,346.1538461538462,11.831460674157304
16/03/2004,22.00.00,2.6,1379.0,13.5,1101.0,184.0,818.0,138.0,1710.0,1602.0,17.9,45.9,0.9342,2004-03-16 22:00:00,1,0.0,0.0,0.0,108.31,158.38,135.59,158.38,NO2,156.4,0,22,1,0,3,2,-0.5000000000000004,0.8660254037844384,1.0,6.123233995736766e-17,2,0,233.3,163.33,191.08,166.31,234.62,153.42,141.53,163.33,136.58,5.1,3.2,3.9,3.2,2.1,177.0,143.0,137.0,125.0,121.0,24.9,15.8,19.1,15.3,9.0,317.0,166.0,181.0,193.0,146.0,19.0,20.4,21.3,15.7,16.3,41.3,36.7,34.8,60.2,51.0,1800.0,1474.0,1551.0,1439.0,1324.0,700.0,854.0,800.0,764.0,924.0,2034.0,1432.0,1432.0,1494.0,1423.0,180.44500000000002,28.90828929563318,183.35833333333335,26.105456703474324,150.40625,53.531083356551655,3.516666666666666,0.8931218655181827,3.5,0.7122308103927601,2.670833333333333,1.4296485328696105,144.5,16.24499923053223,146.83333333333334,15.689216524464623,115.125,39.25868776738966,17.816666666666666,3.96455125665777,18.258333333333333,3.3008148672530484,13.408333333333333,7.65596764489703,21.75,3.6903929330086025,23.549999999999997,3.49714169000911,18.566666666666666,5.796000620117787,33.916666666666664,9.936682880451867,29.358333333333334,8.974150588656325,45.35833333333333,18.09465250496294,-74.92000000000002,-32.70000000000002,4.960000000000008,181.59802299051032,169.51900406052243,234.62,65.61,151.00722222222223,143.10691275167787,26.576099999999997,510.7407407407407,12.302158273381295
16/03/2004,23.00.00,1.7,1201.0,9.1,943.0,130.0,935.0,117.0,1560.0,1362.0,16.7,48.9,0.9226,2004-03-16 23:00:00,1,0.0,0.0,0.0,85.15,137.57,91.16,137.57,NO2,157.39,0,23,1,0,3,2,-0.25881904510252157,0.9659258262890681,1.0,6.123233995736766e-17,2,0,158.38,233.3,163.33,158.38,200.0,121.71,139.55,150.45,116.76,2.6,5.1,3.2,1.4,2.2,138.0,177.0,143.0,101.0,119.0,13.5,24.9,15.8,6.9,8.8,184.0,317.0,166.0,89.0,152.0,17.9,19.0,20.4,15.3,14.7,45.9,41.3,36.7,61.4,55.9,1379.0,1800.0,1474.0,1142.0,1349.0,818.0,700.0,854.0,1008.0,933.0,1602.0,2034.0,1432.0,1164.0,1349.0,176.97666666666666,33.03837566628671,178.15583333333333,28.590013977653587,151.06708333333333,53.2586315093959,3.3166666666666664,1.154844866926584,3.3000000000000003,0.8517361947543064,2.6833333333333336,1.4193282754962597,141.83333333333334,19.497863130780754,143.08333333333334,17.05316997102364,115.79166666666667,39.14408075266315,16.7,5.348270748569113,17.349999999999998,4.164678313452966,13.5,7.587518354680188,19.866666666666664,2.5788886495284324,23.15833333333333,3.9884967168854293,18.625,5.768674778114306,38.88333333333333,8.374345745589041,30.65833333333333,10.582786910255756,44.8375,17.790173460062995,-20.810000000000002,-25.76000000000002,15.86,169.01858785036453,166.96308373568064,234.62,65.61,150.82833333333332,143.07,27.726300000000002,667.2222222222222,13.220338983050848
17/03/2004,00.00.00,1.7,1205.0,8.6,925.0,132.0,922.0,107.0,1547.0,1314.0,15.5,52.9,0.9271,2004-03-17 00:00:00,1,0.0,0.0,0.0,85.15,127.66,86.25,127.66,NO2,136.58,0,0,2,0,3,2,0.0,1.0,1.0,6.123233995736766e-17,3,0,137.57,158.38,233.3,178.2,183.15,123.69,119.73,149.46,96.32,1.7,2.6,5.1,2.1,1.8,117.0,138.0,177.0,103.0,99.0,9.1,13.5,24.9,11.1,7.4,130.0,184.0,317.0,127.0,104.0,16.7,17.9,19.0,14.1,14.8,48.9,45.9,41.3,65.7,54.7,1201.0,1379.0,1800.0,1304.0,1239.0,935.0,818.0,700.0,852.0,985.0,1362.0,1602.0,2034.0,1272.0,1250.0,168.55333333333334,38.633128616081365,173.53166666666667,31.993707288474866,151.2325,53.176004824830805,3.0333333333333328,1.3261473020244323,3.1666666666666665,0.968910666051251,2.6666666666666665,1.4287929434884248,136.5,24.230146512144593,139.16666666666666,19.534739839733586,115.95833333333333,39.095734412789355,15.166666666666666,6.217931059980213,16.541666666666668,4.848703356818629,13.395833333333334,7.638886736934263,18.466666666666665,2.2042383416197646,22.416666666666668,4.527659104846209,18.683333333333334,5.727862236218799,43.416666666666664,7.0711856620135025,32.78333333333333,12.291300199981377,44.30416666666667,17.323281122252187,-9.909999999999997,-105.64000000000001,3.969999999999999,157.2018484645461,163.81883703682618,234.62,65.61,150.52555555555557,142.96794701986755,29.359499999999997,669.4444444444445,14.324074074074074
17/03/2004,01.00.00,1.2,1072.0,5.4,784.0,95.0,1066.0,90.0,1442.0,1114.0,15.5,51.9,0.9059,2004-03-17 01:00:00,1,0.0,0.0,0.0,60.4,110.81,54.83,110.81,NO2,127.66,0,1,2,0,3,2,0.25881904510252074,0.9659258262890683,1.0,6.123233995736766e-17,3,0,127.66,137.57,158.38,191.08,216.12,108.83,113.78,139.55,95.09,1.7,1.7,2.6,1.2,1.8,107.0,117.0,138.0,88.0,93.0,8.6,9.1,13.5,5.4,6.9,132.0,130.0,184.0,79.0,106.0,15.5,16.7,17.9,14.8,14.0,52.9,48.9,45.9,60.6,57.0,1205.0,1201.0,1379.0,1074.0,1239.0,922.0,935.0,818.0,1098.0,1010.0,1314.0,1362.0,1602.0,1040.0,1174.0,155.17499999999998,42.93147132349432,164.75583333333336,33.650109673827366,151.315,53.10885269691488,2.583333333333333,1.4274686219552017,2.9333333333333336,1.0806844071600124,2.6666666666666665,1.4287929434884248,128.66666666666666,30.7549454017831,133.25,22.800019936195657,116.04166666666667,39.035634964753015,12.883333333333333,6.956268156610022,15.133333333333333,5.4421475262041294,13.395833333333334,7.638886736934263,17.5,1.9728152473052383,21.599999999999998,4.833782633244318,18.712500000000002,5.708979387961905,46.26666666666667,6.308618443579022,34.93333333333333,13.236130534078038,43.94166666666666,17.05642596403672,-16.849999999999994,-47.56999999999999,1.980000000000004,143.94703461753292,159.5781300738801,234.62,65.61,150.12638888888887,142.75638157894738,28.804499999999997,824.6153846153846,15.846153846153847
17/03/2004,02.00.00,0.9,998.0,4.1,714.0,70.0,1169.0,79.0,1383.0,992.0,14.1,55.6,0.891,2004-03-17 02:00:00,1,0.0,0.0,0.0,45.0,98.77,41.0,98.77,NO2,108.83,0,2,2,0,3,2,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,3,0,110.81,127.66,137.57,163.33,203.58,76.67,108.83,124.68,75.44,1.2,1.7,1.7,0.8,1.8,90.0,107.0,117.0,61.0,88.0,5.4,8.6,9.1,2.8,7.0,95.0,132.0,130.0,43.0,108.0,15.5,15.5,16.7,14.8,13.4,51.9,52.9,48.9,59.2,61.3,1072.0,1205.0,1201.0,968.0,1224.0,1066.0,922.0,935.0,1320.0,998.0,1114.0,1314.0,1362.0,867.0,1149.0,144.415,48.24087592488359,156.02166666666668,36.165044608228484,152.23583333333332,51.93700447713523,2.1999999999999997,1.5336231610144708,2.6916666666666664,1.1881676751378245,2.670833333333333,1.4232477149010332,118.0,35.51900899518444,126.41666666666667,25.81563421062856,116.79166666666667,38.09368219519354,10.933333333333332,7.586479200964474,13.775,6.012430305776379,13.449999999999998,7.564735117061562,16.45,1.7885748516626543,20.625,5.083149524744373,18.683333333333334,5.7315804533089825,49.416666666666664,5.197082514898676,37.63333333333333,13.912409982283904,43.791666666666664,16.931779142415465,-12.040000000000006,-38.8,22.099999999999994,131.03931044109493,154.7134796679697,234.62,65.61,149.76652777777778,142.4688888888889,30.0796,998.0,17.2875
17/03/2004,05.00.00,0.5,869.0,1.6,554.0,28.0,1460.0,40.0,1268.0,667.0,11.8,58.0,0.8026,2004-03-17 05:00:00,1,0.0,0.0,0.0,25.0,50.0,16.0,50.0,NO2,71.75,0,5,2,0,3,2,0.9659258262890683,0.25881904510252074,1.0,6.123233995736766e-17,3,0,75.44,98.77,98.77,137.57,158.38,65.61,92.63,87.72,35.0,0.7,0.7,0.9,0.6,1.0,60.0,79.0,79.0,52.0,74.0,1.9,2.6,4.1,2.0,3.9,54.0,70.0,70.0,38.0,88.0,12.7,13.1,14.1,12.8,11.9,57.9,57.9,55.6,63.2,67.4,883.0,933.0,998.0,937.0,1075.0,1396.0,1292.0,1169.0,1412.0,1156.0,808.0,884.0,992.0,793.0,1010.0,93.575,27.35129740981225,135.27583333333334,52.28040889078703,152.5575,51.896645971040094,0.9499999999999997,0.4370354676682704,2.1333333333333333,1.4901698093190785,2.6666666666666665,1.4297055539566499,75.83333333333333,23.353086876613602,108.83333333333333,40.108564792285506,117.08333333333333,38.03535731128473,4.033333333333334,2.6553091470987704,10.366666666666665,7.743658206832384,13.416666666666666,7.617352425286265,13.783333333333333,1.5210741818421876,16.825,3.7639739637781715,18.6375,5.781064479984556,55.699999999999996,2.7298351598583976,47.291666666666664,10.601497178429236,43.05416666666667,16.106519856382914,-25.439999999999998,-48.769999999999996,-15.61,91.83444258057395,136.713828295692,234.62,50.0,148.46069444444444,141.16634615384615,30.043999999999997,1448.3333333333335,30.926829268292682
